time,Precipitation,CloudCover,Temperature,Snowfall,Wind
2007-01-01 00:00:00,1.3298458e-07,0.9996948,286.43298,0.0,9.663516
2007-01-01 02:00:00,2.3537211e-07,0.5562744,285.98602,0.0,8.988889
2007-01-01 04:00:00,3.7087335e-09,0.16445923,284.50214,0.0,6.604268
2007-01-01 06:00:00,0.0,0.19714355,283.30905,0.0,7.4860625
2007-01-01 08:00:00,2.053049e-08,0.17279053,282.31317,0.0,8.07111
2007-01-01 10:00:00,1.0199017e-08,0.22470093,,0.0,7.210626
2007-01-01 12:00:00,0.0,0.41714478,283.35266,0.0,7.8693676
2007-01-01 14:00:00,0.0,0.48776245,282.97983,0.0,5.3672047
2007-01-01 16:00:00,0.0,0.09967041,281.69583,0.0,4.332927
2007-01-01 18:00:00,1.08348e-07,0.19042969,280.64606,0.0,5.040624
2007-01-01 20:00:00,5.581644e-07,1.0,279.2231,0.0,5.313888
2007-01-01 22:00:00,8.238686e-08,0.4126587,280.09753,0.0,8.77126
2007-01-02 00:00:00,1.3377932e-08,0.41534424,279.7602,0.0,8.0257225
2007-01-02 02:00:00,1.1920929e-09,0.3327942,279.18195,0.0,6.867508
2007-01-02 04:00:00,4.503462e-09,0.3640442,278.32645,0.0,6.104465
2007-01-02 06:00:00,1.5894572e-09,0.12597656,278.27405,0.0,5.400914
2007-01-02 08:00:00,5.298191e-10,0.33380127,278.00803,0.0,5.398016
2007-01-02 10:00:00,2.3841857e-09,0.44406128,,0.0,4.9713273
2007-01-02 12:00:00,2.2914675e-08,0.99713135,280.73822,0.0,6.103508
2007-01-02 14:00:00,1.5046861e-07,0.985199,281.39798,0.0,6.5688367
2007-01-02 16:00:00,3.6822424e-08,0.38024902,280.3243,0.0,5.4464707
2007-01-02 18:00:00,2.251731e-09,0.2846985,279.96515,0.0,5.595768
2007-01-02 20:00:00,3.7087335e-09,0.58813477,279.9597,0.0,4.9934506
2007-01-02 22:00:00,6.6227385e-10,0.5022583,279.88196,0.0,3.6181448
2007-01-03 00:00:00,2.6490954e-10,0.5409241,279.39343,0.0,3.441752
2007-01-03 02:00:00,0.0,0.6921997,278.26788,0.0,2.974913
2007-01-03 04:00:00,0.0,0.6656494,277.68176,0.0,3.0411193
2007-01-03 06:00:00,0.0,0.6829834,277.16528,0.0,2.7209926
2007-01-03 08:00:00,0.0,0.4074707,276.96027,0.0,2.850217
2007-01-03 10:00:00,1.1920929e-09,0.1651001,,0.0,4.0368605
2007-01-03 12:00:00,0.0,0.27767944,281.10583,0.0,5.457576
2007-01-03 14:00:00,0.0,0.5925598,281.555,0.0,5.45048
2007-01-03 16:00:00,0.0,0.91400146,280.9708,0.0,5.0899167
2007-01-03 18:00:00,1.0596382e-09,1.0,280.7754,0.0,5.7538805
2007-01-03 20:00:00,5.5631e-09,1.0,280.90234,0.0,6.276393
2007-01-03 22:00:00,1.139111e-08,1.0,280.88306,0.0,6.68736
2007-01-04 00:00:00,5.298191e-10,1.0,280.82086,0.0,7.0159698
2007-01-04 02:00:00,5.642573e-08,1.0,281.09247,0.0,6.929416
2007-01-04 04:00:00,9.0201695e-08,1.0,281.48572,0.0,6.9037776
2007-01-04 06:00:00,1.4040205e-08,0.496521,282.4132,0.0,6.005625
2007-01-04 08:00:00,4.1325887e-08,0.3222046,282.61078,0.0,5.934931
2007-01-04 10:00:00,1.2980567e-08,0.29660034,,0.0,6.377157
2007-01-04 12:00:00,2.1987491e-08,0.26690674,283.7676,0.0,6.337346
2007-01-04 14:00:00,7.947286e-10,0.4172058,283.8098,0.0,5.99267
2007-01-04 16:00:00,0.0,0.49069214,282.92474,0.0,4.785904
2007-01-04 18:00:00,0.0,0.8826599,282.46228,0.0,4.9267097
2007-01-04 20:00:00,0.0,0.7859192,281.97174,0.0,4.9493275
2007-01-04 22:00:00,1.3245477e-10,1.0,281.9599,0.0,3.9290812
2007-01-05 00:00:00,1.3245477e-10,0.8788147,281.8561,0.0,3.9132206
2007-01-05 02:00:00,1.3245477e-10,1.0,282.1235,0.0,3.664768
2007-01-05 04:00:00,5.298191e-10,0.97906494,282.25464,0.0,3.8808968
2007-01-05 06:00:00,2.251731e-09,0.9812622,282.20038,0.0,4.278771
2007-01-05 08:00:00,5.298191e-10,0.89871216,282.09467,0.0,4.371514
2007-01-05 10:00:00,9.271834e-10,0.5918884,,0.0,4.7673936
2007-01-05 12:00:00,7.947286e-10,0.44924927,283.59888,0.0,5.255456
2007-01-05 14:00:00,0.0,1.0,284.37952,0.0,5.6431932
2007-01-05 16:00:00,1.0596382e-09,0.97750854,283.99884,0.0,4.6035995
2007-01-05 18:00:00,1.6967455e-07,0.99935913,283.44794,0.0,5.2834024
2007-01-05 20:00:00,1.1656019e-08,1.0,283.67902,0.0,5.462198
2007-01-05 22:00:00,2.6490954e-10,1.0,283.9898,0.0,5.046154
2007-01-06 00:00:00,1.5894572e-09,1.0,284.23203,0.0,4.8867855
2007-01-06 02:00:00,5.2981908e-09,1.0,284.30713,0.0,4.7451925
2007-01-06 04:00:00,6.357829e-09,1.0,284.23724,0.0,4.663805
2007-01-06 06:00:00,3.1391778e-08,1.0,284.36523,0.0,4.7124877
2007-01-06 08:00:00,2.6490954e-10,1.0,284.40286,0.0,5.084427
2007-01-06 10:00:00,4.371007e-09,1.0,,0.0,5.369811
2007-01-06 12:00:00,2.1457673e-08,1.0,285.09988,0.0,6.3412666
2007-01-06 14:00:00,1.8543668e-08,1.0,285.45746,0.0,6.5115795
2007-01-06 16:00:00,2.6596916e-07,1.0,285.08377,0.0,6.675341
2007-01-06 18:00:00,2.2821956e-07,1.0,285.0714,0.0,6.816914
2007-01-06 20:00:00,1.11262e-08,0.8821411,284.6399,0.0,6.7793713
2007-01-06 22:00:00,0.0,1.0,282.52484,0.0,5.0963445
2007-01-07 00:00:00,0.0,0.9584656,281.51483,0.0,3.9261417
2007-01-07 02:00:00,0.0,0.789032,280.3793,0.0,3.4623995
2007-01-07 04:00:00,2.6490954e-10,0.84036255,279.99683,0.0,3.4825633
2007-01-07 06:00:00,6.6227385e-10,0.7722473,279.1924,0.0,4.0514183
2007-01-07 08:00:00,1.3245477e-10,0.65722656,278.77612,0.0,4.192603
2007-01-07 10:00:00,0.0,1.0,,0.0,6.107604
2007-01-07 12:00:00,6.092919e-09,0.9942932,282.677,0.0,6.3193073
2007-01-07 14:00:00,2.1192763e-09,0.66116333,283.28323,0.0,5.475766
